linker,family,smiles,yield,purity,reproducibility
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.47,0.51,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.34,0.62,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0,0.62,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.35,0.73,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.46,0.68,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.46,0.61,0.75
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.37,0.65,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.5,0.51,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.39,0.5,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.48,0.68,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.45,0.43,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0,0.63,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.64,0.69,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.28,0.75,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.33,0.57,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.37,0.53,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.2,0.61,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.29,0.48,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.21,0.4,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.67,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.54,0.48,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.37,0.65,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.47,0.64,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.46,0.73,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.6,0.66,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.66,0.67,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.44,0.64,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.46,0.49,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.29,0.52,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.41,0.72,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.37,0.44,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.56,0.66,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.67,0.66,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.36,0.69,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.58,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.54,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.22,0.52,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.24,0.51,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.15,0.45,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.41,0.75,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.63,0.45,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.34,0.67,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.51,0.61,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.49,0.74,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.68,0.61,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.56,0.69,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.53,0.58,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.5,0.49,0.25
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.48,0.46,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.42,0.73,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.45,0.37,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.48,0.56,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.69,0.6,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.51,0.66,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.36,0.54,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.43,0.55,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.27,0.5,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.35,0.52,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.18,0.34,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.39,0.73,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.59,0.46,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.26,0.56,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.37,0.58,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.45,0.67,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.38,0.53,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.59,0.62,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.55,0.5,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.4,0.47,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.57,0.4,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.39,0.64,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.37,0.34,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.4,0.52,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.41,0.58,0.25
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.38,0.61,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.47,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.27,0.6,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.17,0.46,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.26,0.52,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.2,0.28,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.54,0.7,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.57,0.39,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.32,0.5,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.35,0.52,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.55,0.64,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.47,0.53,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.6,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.56,0.47,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.57,0.55,0.25
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.48,0.33,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.35,0.63,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.15,0.26,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.4,0.56,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.58,0.62,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.21,0.64,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.24,0.48,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.23,0.61,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.19,0.42,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.29,0.58,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.12,0.29,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.54,0.68,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.41,0.32,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.25,0.54,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.47,0.56,0.25
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.42,0.65,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.39,0.53,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.4,0.66,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.46,0.47,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.56,0.52,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.43,0.38,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.35,0.64,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.25,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.38,0.52,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0,0.46,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.17,0.53,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.22,0.46,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.2,0.62,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0,0.45,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.24,0.55,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.27,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.55,0.64,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.27,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.37,0.47,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.38,0.47,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.33,0.6,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.42,0.45,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.41,0.67,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.38,0.4,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.44,0.55,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.49,0.3,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.24,0.6,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.16,0.25,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.39,0.46,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.58,0.55,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.19,0.56,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.13,0.42,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.14,0.54,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.15,0.38,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.22,0.52,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.05,0.27,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.65,0.63,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.48,0.33,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.29,0.44,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.26,0.49,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.22,0.51,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.41,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.55,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0,0.4,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.34,0.53,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.39,0.37,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.45,0.61,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.19,0.51,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.33,0.65,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.65,0.81,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.23,0.76,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.28,0.71,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.15,0.49,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.23,0.67,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.14,0.57,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.53,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.66,0.74,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.5,0.61,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.34,0.7,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.46,0.71,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.72,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.45,0.74,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.57,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.27,0.67,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.39,0.6,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.48,0.56,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.38,0.65,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.29,0.48,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.35,0.68,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.8,0.55,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.32,0.74,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.59,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.22,0.5,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.24,0.6,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.1,0.44,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.17,0.42,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.7,0.72,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.45,0.51,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.27,0.64,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.42,0.67,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.3,0.68,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.55,0.68,0.75
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.45,0.59,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.39,0.68,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.35,0.51,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.39,0.48,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.33,0.66,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.41,0.43,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.56,0.63,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.69,0.69,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.28,0.7,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.31,0.59,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.3,0.55,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.26,0.62,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.16,0.45,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.13,0.39,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.78,0.51,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.61,0.52,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.31,0.62,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.53,0.67,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.37,0.74,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.52,0.69,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.56,0.75
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.46,0.66,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.36,0.5,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.37,0.5,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.44,0.68,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.4,0.43,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.53,0.67,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.8,0.87,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.3,0.75,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.4,0.58,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.39,0.53,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.18,0.61,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.17,0.46,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.13,0.39,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.77,0.51,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.62,0.49,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.42,0.65,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.59,0.65,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.52,0.73,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.41,0.64,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.61,0.67,0.25
