linker,family,smiles,MW,logP,TPSA,n_rings,temperature,time_h,concentration_M,solvent_DMF,expected_yield,yield,purity,reproducibility
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.05,1,0.2800405951199535,0.19602841658396744,0.6914375558978296,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.05,1,0.4099486889116291,0.4457136720346789,0.7106171262538317,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.05,1,0.30779772310962406,0.28766503285440076,0.7456740986721803,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.05,1,0.38863477877789004,0.272044345144523,0.7258598819649161,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.05,1,0.38059524276301054,0.38468487647860405,0.6026982041095486,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.05,1,0.3610575583304229,0.40701855071928683,0.6868304188530059,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.05,1,0.3610575583304229,0.3412584759166683,0.5920975805732538,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.05,1,0.3705248864284953,0.36117104073439776,0.5448349203612364,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.05,1,0.39410613930715827,0.404239213103923,0.656114455882253,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.1,0,0.2108206926579243,0.1445965597119302,0.4679589564217386,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.1,0,0.431220787520486,0.4560584307672481,0.6865566466944987,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.1,0,0.6538346437705719,0.45768425063940027,0.7499166782600549,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.1,0,0.2102336031115079,0.24403780690945875,0.7346852332055839,1.0
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.1,0,0.22378377456649054,0.0,0.5904478892343901,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.1,0,0.20095163317119924,0.1965722963777425,0.4956860714075207,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.1,0,0.11720261685119522,0.1556596836629866,0.5922748379536528,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.1,0,0.11720261685119522,0.0,0.4322600258650118,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.1,0,0.06448828953405175,0.07626691487136988,0.41338556947788546,1.0
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.1,0,0.6274510709686092,0.7274510709686092,0.5065256051848647,1.0
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.1,1,0.4108206926579243,0.0,0.460684104027879,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.1,1,0.3060447153297669,0.40604471532976694,0.6555441652402545,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.1,1,0.44423464377057187,0.5442346437705718,0.6835044808737873,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.1,1,0.3160880895184697,0.2509267729179142,0.6794138271872189,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.1,1,0.4148456555930405,0.403741235217471,0.6642820734514754,0.75
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.1,1,0.4098897521446493,0.4148211542348893,0.5899218180216632,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.1,1,0.3689115896651188,0.3947080252035009,0.679564805848356,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.1,1,0.3689115896651188,0.4217614267604731,0.5218274679365921,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.1,1,0.3740882895340517,0.4740882895340517,0.4917236091346931,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.1,1,0.4298510709686092,0.3008957496780264,0.6590601559358192,1.0
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.15,0,0.2724696280395424,0.2943134547762167,0.42314127959245434,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.15,0,0.4644529597831315,0.42660495027554063,0.6160032891043112,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.15,0,0.6705123529050974,0.7134105087057586,0.482934270800555,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.15,0,0.2364444799266584,0.16551113594866088,0.6890616026848063,1.0
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.15,0,0.2888576508026429,0.2686448763030312,0.582978412547549,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.15,0,0.25917562769828295,0.2400038246853168,0.5418998017892916,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.15,0,0.13878804481661325,0.23878804481661325,0.6211054264919953,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.15,0,0.13878804481661325,0.0,0.4319834280646013,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.15,0,0.07707978918054557,0.14577708759998292,0.3933088934139497,1.0
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.15,0,0.6448384698535401,0.6232930354171222,0.7291660482557447,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.15,1,0.47246962803954234,0.47344786033425146,0.5055778255050148,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.15,1,0.3392768875924124,0.3401183844599816,0.6181938288177387,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.15,1,0.46091235290509736,0.0,0.6195426265800497,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.15,1,0.3453825989001084,0.34704297475868967,0.7333662598125682,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.15,1,0.47306965012012425,0.4586227643744258,0.683744711594886,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.15,1,0.47496362838080175,0.4574614033668782,0.6092431091528095,0.75
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.15,1,0.39666428276351334,0.37079946770137484,0.6511211665362391,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.15,1,0.39666428276351334,0.4966642827635134,0.5126181932927407,1.0
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.15,1,0.3866797891805456,0.39316899417382195,0.498314674345269,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.15,1,0.4472384698535401,0.4767697603744164,0.6832814703836876,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.2,0,0.3512543753749853,0.45125437537498525,0.43361595424095395,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.2,0,0.48061807769176373,0.0,0.625726089955087,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.2,0,0.6538346437705719,0.6443401588908925,0.6933312861873386,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.2,0,0.29466847445374217,0.280849282216575,0.749859466918863,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.2,0,0.3720193285456105,0.32893123607486213,0.5732173498351345,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.2,0,0.33358344462620126,0.37453668558730885,0.5286595541432741,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.2,0,0.18673721678009397,0.19990721340681797,0.6087869503458151,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.2,0,0.18673721678009397,0.286737216780094,0.4751756718784264,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.2,0,0.10505013949257604,0.20505013949257606,0.3999981593355422,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.2,0,0.6274510709686092,0.0,0.6715098518901544,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.2,1,0.5512543753749852,0.5449052523737449,0.4798384416280257,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.2,1,0.35544200550104466,0.36636092044841806,0.6474508459336128,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.2,1,0.44423464377057187,0.4728235785298079,0.6408713613692305,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.2,1,0.41045647513626093,0.4560421990134993,0.7251456003500549,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.2,1,0.5474774670480426,0.5985947505165137,0.6566465258055392,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.2,1,0.5581253061237692,0.6581253061237692,0.6734956877629227,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.2,1,0.45831321814513154,0.4433207604111262,0.6413999139481217,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.2,1,0.45831321814513154,0.4613011432027921,0.49280538390366113,1.0
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.2,1,0.414650139492576,0.2902550976448032,0.523421001601654,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.2,1,0.4298510709686092,0.4078244141952634,0.72100046191405,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.25,0,0.3895776218968737,0.3709633632498308,0.4386456201990199,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.25,0,0.4644529597831315,0.5644529597831315,0.658899673217328,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.25,0,0.6195486889116291,0.6688027193238519,0.6614788835896303,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.25,0,0.3690762913816604,0.36228126593028526,0.6858974212745031,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.25,0,0.41247164431871497,0.0,0.5840302732442912,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.25,0,0.3697776218968737,0.0,0.5403362829996043,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.25,0,0.2480142424854384,0.2181603016863371,0.5231576577701997,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.25,0,0.2480142424854384,0.23982808939175917,0.5122818224604412,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.25,0,0.14079507115402698,0.15346839539805962,0.45233535288090776,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.25,0,0.5917061393071583,0.4141942975150108,0.7462803014943327,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.25,1,0.5895776218968737,0.6266149498087219,0.44785206043732556,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.25,1,0.3392768875924124,0.34380352855902546,0.6735394367401368,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.25,1,0.4099486889116291,0.5099486889116291,0.6130658388806489,1.0
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.25,1,0.4936181528792283,0.48915542690694347,0.7422377577217224,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.25,1,0.583671644318715,0.683671644318715,0.611755960805453,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.25,1,0.5985776218968737,0.5619072538306765,0.6945276170424162,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.25,1,0.5370979654805743,0.5279902252715675,0.5750684571610072,1.0
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.25,1,0.5370979654805743,0.5018873052101686,0.49015946058693716,0.25
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.25,1,0.45039507115402694,0.47518327636437757,0.45608672824875657,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.25,1,0.39410613930715827,0.41961580799584897,0.7261092805233413,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.3,0,0.3512543753749853,0.45125437537498525,0.36779309757203477,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.3,0,0.431220787520486,0.48096418706959065,0.557947031078231,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.3,0,0.5927199855511102,0.6927199855511101,0.5970954778944648,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.3,0,0.4052704686523328,0.5052704686523328,0.6571765014853586,1.0
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.3,0,0.3720193285456105,0.36358319340052514,0.5448378052747017,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.3,0,0.33358344462620126,0.43358344462620124,0.5464340938866783,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.3,0,0.2778212120024628,0.27078945155465073,0.4957260640223928,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.3,0,0.2778212120024628,0.3457868299984791,0.5197783757244839,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.3,0,0.15818247003895783,0.18384406956235605,0.3373906224887632,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.3,0,0.5637357889951279,0.3946150522965895,0.7331541483410938,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.3,1,0.5512543753749852,0.5928309386677135,0.45701251869520704,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.3,1,0.3060447153297669,0.2554711749787042,0.5605732491974444,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.3,1,0.38311998555111015,0.37178722735115566,0.575336339225877,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.3,1,0.5340704686523328,0.45221589804614737,0.6653484719409707,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.3,1,0.5474774670480426,0.3832342269336298,0.5343924861664491,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.3,1,0.5581253061237692,0.5915784337972806,0.6233871119307686,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.3,1,0.5754212120024628,0.55012487912428,0.4955409650386292,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.3,1,0.5754212120024628,0.4027948484017239,0.4658786621481727,1.0
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.3,1,0.4677824700389578,0.5677824700389578,0.3963539540646844,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.3,1,0.3661357889951279,0.38975528403083803,0.6363689635668324,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.35,0,0.27246962803954244,0.3724696280395424,0.3442718774751549,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.35,0,0.4052166673106726,0.3975423020474682,0.5200595220358782,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.35,0,0.5806424246656977,0.4064496972659884,0.5810508467899258,0.25
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.35,0,0.3690762913816604,0.3766980519275856,0.6108443510009696,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.35,0,0.288857650802643,0.0,0.4687096070588013,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.35,0,0.259175627698283,0.26861073246592965,0.6001092091395207,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.35,0,0.2480142424854384,0.17360996973980689,0.46146816769117843,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.35,0,0.2480142424854384,0.2556532301904076,0.5171657323813988,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.35,0,0.14079507115402698,0.20083200660810682,0.2829699455925569,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.35,0,0.551144289348634,0.5419880516383724,0.6958847727259511,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.35,1,0.4724696280395424,0.5724696280395424,0.3855380161234167,1.0
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.35,1,0.2800405951199535,0.3224495189432463,0.5024903091205881,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.35,1,0.37104242466569765,0.34987140534333994,0.5211990251806179,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.35,1,0.4936181528792283,0.5452148371495458,0.6448005316473364,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.35,1,0.4730696501201243,0.46724371593376557,0.5332315096111124,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.35,1,0.47496362838080175,0.0,0.5985822181721918,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.35,1,0.5370979654805743,0.5591068139148004,0.46889722411212675,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.35,1,0.5370979654805743,0.5734912563429673,0.5476953379083216,0.25
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,242.23,2.5,75.0,2,25,12,0.35,1,0.45039507115402694,0.4803050307040638,0.33227908935557837,1.0
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,118.14,1.3,25.0,2,25,12,0.35,1,0.353544289348634,0.3474352286909612,0.6255914282726958,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,166.13,1.2,75.0,1,25,12,0.4,0,0.2108206926579243,0.147574484860547,0.26248936658699396,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,116.07,-0.6,75.0,0,25,12,0.4,0,0.39351031158839844,0.40393449097004797,0.5616385569341475,1.0
2-methylimidazole,Azole,Cc1ncc[nH]1,82.1,0.2,29.0,1,25,12,0.4,0,0.5772244665848578,0.5812660387517986,0.6216833119158348,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,210.14,1.4,112.0,1,25,12,0.4,0,0.29466847445374206,0.20626793211761943,0.6417244887080422,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,181.15,1.0,101.0,1,25,12,0.4,0,0.2237837745664905,0.23610561681170564,0.4790731977523672,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,184.13,1.4,75.0,1,25,12,0.4,0,0.20095163317119924,0.23077522177604348,0.6084903152857082,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,216.19,2.0,75.0,2,25,12,0.4,0,0.18673721678009395,0.19173241792930992,0.41518405773071687,1.0
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,216.19,2.0,75.0,2,25,12,0.4,0,0.18673721678009395,0.28673721678009395,0.5772829934399359,0.5
